Ticker,Full Name,Last 30 Days Prices,Current Price,Market Cap,Sector
AAPL,Apple Inc.,"[190.75, 189.95, 191.02, 191.85, 193.46, 194.5, 195.63, 195.08, 195.77, 195.01, 200.4, 210.22, 214.49, 213.17, 215.02, 215.94, 211.8, 208.94, 207.93, 209.11]",213.25,3269996838912,Consumer Electronics
NVDA,NVIDIA Corporation,"[112.07, 113.94, 112.58, 111.08, 114.31, 116.08, 120.41, 122.52, 120.33, 121.08, 121.34, 124.13, 129.5, 130.92, 131.99, 133.36, 135.29, 126.85, 120.67, 123.64]",126.4000015258789,3109225234432,Semiconductors
MSFT,Microsoft Corporation,"[429.98, 427.43, 419.49, 415.94, 414.52, 414.25, 420.91, 424.26, 425.03, 426.29, 429.08, 438.19, 441.21, 440.43, 445.48, 448.02, 446.0, 448.58, 448.74, 449.6]",452.1600036621094,3360593281024,Software - Infrastructure
